ax,ay,az,gx,gy,gz,thr,as,vz,alt,roll,pitch,label
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6021,0.0000,0.0730,0.0717,0.0596,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8610,0.0000,0.0710,0.0717,0.0596,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7461,0.0000,0.0760,0.0719,0.0598,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4225,0.0000,0.0830,0.0720,0.0599,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8106,0.0000,0.0850,0.0723,0.0598,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8693,0.0000,0.0880,0.0720,0.0599,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8677,0.0000,0.0950,0.0721,0.0600,0
0.0000,0.0000,-9.8198,0.0000,0.0010,0.0010,0.0000,1.0081,0.0000,0.0990,0.0721,0.0602,0
0.0000,0.0000,-9.8100,0.0010,0.0010,0.0010,0.0000,1.0093,0.0000,0.1010,0.0724,0.0602,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7727,0.0000,0.1050,0.0728,0.0601,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6281,0.0000,0.1070,0.0733,0.0602,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4500,0.0000,0.0700,0.0731,0.0603,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6605,0.0000,0.0190,0.0726,0.0607,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,1.0782,0.0000,-0.0050,0.0727,0.0608,0
0.0000,0.0000,-9.8100,0.0010,0.0010,0.0010,0.0000,0.4048,0.0000,-0.0180,0.0725,0.0607,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7800,0.0000,-0.0300,0.0723,0.0610,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8230,0.0000,-0.0370,0.0724,0.0612,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7829,0.0000,-0.0460,0.0722,0.0611,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3484,0.0000,-0.0530,0.0724,0.0611,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5473,0.0000,-0.0520,0.0732,0.0613,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4829,0.0000,-0.0460,0.0733,0.0613,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.0881,0.0000,-0.0430,0.0739,0.0610,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2923,0.0000,-0.0410,0.0737,0.0607,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7844,0.0000,-0.0420,0.0742,0.0608,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8786,0.0000,-0.0470,0.0740,0.0605,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6885,0.0000,-0.0510,0.0737,0.0602,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3929,0.0000,-0.0540,0.0739,0.0601,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7852,0.0000,-0.0590,0.0740,0.0606,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2819,0.0000,-0.0640,0.0742,0.0610,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6155,0.0000,-0.0630,0.0739,0.0608,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8618,0.0000,-0.0590,0.0738,0.0606,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.1101,0.0000,-0.0580,0.0741,0.0606,0
